round,RS_ACC,RS_N,RS_S,RS_V,RS_run_time,,LCDO_ACC,LCDO_N,LCDO_S,LCDO_V,LCDO_run_time,,MSDO_ACC,MSDO_N,MSDO_S,MSDO_V,MSDO_run_time,,ESDO_accuracy,ESDO_N,ESDO_S,ESDO_V,ESDO_run_time,,KMS_ACC,KMS_N,KMS_S,KMS_V,KMS_run_time,,KCG_ACC,KCG_N,KCG_S,KCG_V,KCG_run_time,,KCG+PCA_ACC,KCG+PCA_N,KCG+PCA_S,KCG+PCA_V,KCG+PCArun_time,,BALD_ACC,BALD_N,BALD_S,BALD_V,BALD_run_time,,VR_ACC,VR_N,VR_S,VR_V,VR_run_time,,MSTD_ACC,MSTD_N,MSTD_S,MSTD_V,MSTD_run_time,,BS_ACC,BS_N,BS_S,BS_V,BS_run_time,,LL_ACC,LL_N,LL_S,LL_V,LL_run_time
0,0.714303452,0.833345405,0,0,116.2474842,,0.714303,0.833345,0,0,118.427926,,0.714303452,0.833345405,0,0,118.7540309,,0.714303452,0.833345405,0,0,119.2301815,,0.714303452,0.833345405,0,0,119.8808157,,0.714303452,0.833345405,0,0,119.320121,,0.714303452,0.833345405,0,0,119.5075343,,0.714303452,0.833345405,0,0,119.5800753,,0.714303452,0.833345405,0,0,118.0514607,,0.714303452,0.833345405,0,0,117.2350085,,0.714303452,0.833345405,0,0,117.5210724,,0.714303452,0.833345405,0,0,107.2804317
1,0.714303452,0.833345405,0,0,119.44,,0.714303,0.833345,0,0,236.49,,0.714303452,0.833345405,0,0,236.65,,0.714303452,0.833345405,0,0,236.03,,0.714303452,0.833345405,0,0,154.19,,0.714303452,0.833345405,0,0,147.09,,0.714303452,0.833345405,0,0,311.53,,0.714303452,0.833345405,0,0,236.72,,0.714303452,0.833345405,0,0,133.28,,0.714303452,0.833345405,0,0,233.97,,0.714303452,0.833345405,0,0,139.97,,0.714303452,0.833345405,0,0,57.15
2,0.714303452,0.833345405,0,0,66.42,,0.714303,0.833345,0,0,172.17,,0.714303452,0.833345405,0,0,178.04,,0.714303452,0.833345405,0,0,175.26,,0.714675937,0.833454,0,0.011719,159.32,,0.714303452,0.833345405,0,0,152.58,,0.714303452,0.833345405,0,0,282.29,,0.714303452,0.833345405,0,0,188.44,,0.714303452,0.833345405,0,0,71.69,,0.714303452,0.833345405,0,0,177.87,,0.714303452,0.833345405,0,0,143.32,,0.714303452,0.833345405,0,0,57.99
3,0.714303452,0.833345405,0,0,132.03,,0.714303,0.833345,0,0,166.46,,0.714303452,0.833345405,0,0,152.24,,0.714303452,0.833345405,0,0,151.4,,0.722870623,0.833220797,0,0.360348292,163.5,,0.714428,0.833405766,0,0.001969,80.23,,0.714303452,0.833345405,0,0,228.81,,0.714303452,0.833345405,0,0,152,,0.714303452,0.833345405,0,0,47.95,,0.714303452,0.833345405,0,0,244.43,,0.723491433,0.83660419,0,0.223500411,147.39,,0.724236404,0.837164892,0,0.222038111,87.17
4,0.725726347,0.836269045,0,0.320409656,137.26,,0.721505,0.833643,0,0.299636,222.67,,0.723367271,0.835540431,0,0.274329502,250.05,,0.720884033,0.833432392,0,0.28928,210.68,,0.724857214,0.8347,0,0.380144,140.77,,0.721256519,0.835991222,0,0.164930556,63.71,,0.727464614,0.839305342,0,0.224680851,323,,0.714303452,0.833345405,0,0,157.87,,0.714303452,0.833345405,0,0,45.9,,0.725105538,0.835016835,0,0.356897735,251.23,,0.737273405,0.844104771,0,0.371747212,150.82,,0.72460889,0.836979742,0,0.248596632,51.84
5,0.735410976,0.840656034,0,0.439215686,138.69,,0.722126,0.8323,0,0.391223,240.13,,0.731065309,0.838830025,0,0.376056338,254.73,,0.718897442,0.835057555,0,0.107664234,147.64,,0.724236404,0.834350283,0,0.381383323,83.08,,0.733796871,0.841887295,0,0.335384615,121.77,,0.734417681,0.841972187,0,0.369454546,242.34,,0.718649119,0.832456,0,0.262882748,255.09,,0.714303452,0.833345405,0,0,61.08,,0.734666004,0.840701334,0,0.416271186,251.06,,0.737397566,0.842495835,0.00155159,0.464972102,156.13,,0.725850509,0.838378656,0,0.215436811,84.15
6,0.736528433,0.83985982,0.025073746,0.495694957,98.92,,0.733921,0.840051,0.001549,0.446675,204.69,,0.740625776,0.8426796,0.012021037,0.502213789,259.22,,0.723615595,0.835662009,0,0.271814672,148.37,,0.729575,0.838550984,0,0.357041252,67.72,,0.728458,0.836792094,0,0.436298077,71.19,,0.730816985,0.839031017,0,0.417624521,234.04,,0.717531661,0.830881804,0,0.300909727,180.95,,0.738142538,0.84398371,0,0.37357631,156.54,,0.737149243,0.842073674,0.004636785,0.433670034,173.79,,0.760243357,0.854892966,0.023934181,0.610289769,161.93,,0.72721629,0.838969995,0,0.233417296,54.36
7,0.735162652,0.837313896,0.063756064,0.538157151,69.42,,0.73628,0.838971,0.036417,0.508089,191.06,,0.738763347,0.83998468,0.047312,0.523522316,171.64,,0.725850509,0.833801534,0,0.430042399,170.11,,0.74025329,0.842241118,0.007675,0.502143295,113.93,,0.745343929,0.84728396,0.003077,0.492508143,106.41,,0.740998262,0.845337548,0.003098,0.45751634,254.05,,0.720014899,0.82886882,0.02853067,0.443902439,203.96,,0.747082195,0.847832631,0.007674597,0.499670402,70.31,,0.736652595,0.840494052,0.012204424,0.47375,166.37,,0.764589024,0.857406837,0.064516129,0.631884058,75.24,,0.720884033,0.830733769,0.079840319,0.427672956,113.67
8,0.739135833,0.840176977,0.082376772,0.550458716,44.63,,0.744971,0.843478,0.037929,0.57159,180.96,,0.737149243,0.837393944,0.091031,0.554612,191.35,,0.722870623,0.83050457,0.018045,0.458736483,175.53,,0.74546809,0.845960174,0.040787,0.530712531,125.74,,0.74807549,0.847037207,0.019446522,0.561732,94.41,,0.738515024,0.842746232,0.004598,0.491291291,235.77,,0.729947852,0.834013,0.032904149,0.509620991,166.3,,0.745343928,0.842005377,0.171293562,0.603730921,123.88,,0.740749938,0.843054083,0.026865672,0.489144317,164.23,,0.7721629,0.861751515,0.147712418,0.674157303,98.2,,0.71877328,0.829775673,0.022255193,0.457112413,85.75
9,0.737894214,0.837331215,0.1223733,0.603157895,54.89,,0.742364,0.840911,0.116015,0.589788,163.74,,0.746337224,0.844005291,0.116415958,0.577056779,184.03,,0.7278371,0.832047385,0.071031,0.513851168,158.07,,0.749441271,0.846819,0.085341,0.592061742,106.27,,0.751800348,0.849868,0.027596224,0.550802139,90.41,,0.752793643,0.850494297,0.031019202,0.561097257,275.88,,0.730941147,0.833177278,0.092348,0.538288288,164.02,,0.7539111,0.849206349,0.169531713,0.601657106,60.9,,0.741619071,0.842638814,0.049365303,0.541641702,155.65,,0.784082444,0.86987914,0.206555349,0.69296741,94.53,,0.738639185,0.842511931,0,0.478716841,85.45
10,0.749937919,0.84507499,0.20663404,0.659772492,71.95,,0.743606,0.841648,0.130435,0.616592,154.8,,0.740625776,0.839843,0.13729128,0.574382539,152.75,,0.733921033,0.834250668,0.107001321,0.559701493,162.2,,0.731189471,0.833745315,0.14620217,0.587004405,73.03,,0.758753,0.853443653,0.045682,0.61547763,90.07,,0.752793643,0.8510349,0.029739777,0.537705,237.29,,0.731934,0.833698373,0.100580271,0.550479413,155.86,,0.765209834,0.855698172,0.178571429,0.63597299,62.42,,0.739259995,0.839710445,0.119254658,0.601971977,169.43,,0.780109262,0.865698001,0.262458472,0.708943089,64.1,,0.735535138,0.841178257,0,0.465454545,68.39
11,0.750931214,0.847596812,0.244251405,0.630057803,53.92,,0.740998,0.838678,0.19428,0.636461,166.61,,0.735907624,0.834942085,0.204371585,0.59588299,170.51,,0.742984852,0.840547773,0.169031462,0.569343066,170.92,,0.741122424,0.839984196,0.146919431,0.600566572,76.7,,0.75453191,0.851576713,0.036075,0.568627451,79.14,,0.750434567,0.848134443,0.034884,0.589772727,247.03,,0.736652595,0.834839639,0.158172232,0.610115912,170.22,,0.744723119,0.840621039,0.194398682,0.619362598,50.68,,0.744847281,0.844454887,0.120527307,0.586147682,156.94,,0.791780482,0.873579658,0.279096045,0.722190531,79.03,,0.736404271,0.842756052,0,0.392550143,64.57
12,0.752793643,0.847028465,0.220524017,0.6496,54.13,,0.73777,0.834537,0.257196,0.66946,160.99,,0.734914328,0.83463035,0.224660397,0.598493003,161.99,,0.728582071,0.82404152,0.305771,0.642391304,175.56,,0.752296995,0.848480137,0.080988,0.60738255,77.78,,0.7434815,0.84224557,0.103960396,0.613348677,74.11,,0.750807052,0.849770992,0.053036,0.562539683,261.16,,0.722249814,0.822181637,0.262265016,0.615629984,157.55,,0.7408741,0.83424408,0.285458613,0.679665738,58.53,,0.743978148,0.843617786,0.16194332,0.613390929,165.61,,0.800968463,0.878403794,0.363636364,0.749356665,104.72,,0.7643407,0.858770984,0.244514107,0.504256713,138.03
13,0.750062081,0.844573831,0.252652855,0.645490641,45.67,,0.745965,0.838921,0.243495,0.684411,161.39,,0.739135833,0.837393768,0.216728038,0.61987041,165.62,,0.738515024,0.835751874,0.234497134,0.585306618,154.71,,0.751800348,0.847988775,0.063114,0.615965,75.9,,0.756766824,0.85267515,0.053333,0.604764814,93.69,,0.754159424,0.852734,0.022172949,0.550195567,242.07,,0.7252297,0.824285953,0.262068966,0.633996937,155.69,,0.771914577,0.859891193,0.21567472,0.672453704,56.08,,0.729575366,0.832851837,0.226027397,0.615700359,154.73,,0.805810777,0.881979489,0.387775551,0.750273823,82.3,,0.824062578,0.900185989,0.643752238,0.648221344,125.33
14,0.743233176,0.837463738,0.278574734,0.672688629,50.31,,0.762106,0.853938,0.127226,0.65568,153.14,,0.715420909,0.816035332,0.279683377,0.621359223,152.98,,0.745716414,0.839530174,0.248587571,0.640969163,156.12,,0.743729824,0.843468818,0.08458,0.581298392,73.19,,0.758008443,0.853807417,0.054698,0.597715736,89.17,,0.756890986,0.853259618,0.072355,0.601234568,262.83,,0.740501614,0.838507822,0.231050706,0.597687861,157.95,,0.771293767,0.856606545,0.297717842,0.702646601,64.55,,0.747827167,0.846665611,0.167824074,0.607753706,149.8,,0.803079215,0.880358285,0.342205323,0.736245037,62.45,,0.822572635,0.901917152,0.63281546,0.583753501,86.33
15,0.741494909,0.834631165,0.287545788,0.680464412,44.23,,0.750683,0.845954,0.178632,0.62762,148.91,,0.737025081,0.83639559,0.228305785,0.580411125,152.91,,0.7513037,0.84262401,0.27811245,0.643268124,156.71,,0.748323814,0.846381784,0.099163,0.604274986,77.8,,0.756021853,0.8511,0.079088,0.622516556,79.78,,0.760367519,0.855329561,0.053597,0.611662531,254.52,,0.735162652,0.832249032,0.229405631,0.633121641,155.37,,0.789173082,0.868738927,0.32012848,0.727771679,62.27,,0.723615595,0.825261724,0.284134411,0.643426295,166.99,,0.814626273,0.886849652,0.423058134,0.771551724,78.78,,0.840079464,0.913364213,0.642487047,0.654170572,84.91
16,0.766823938,0.856554455,0.157862026,0.685165422,45.09,,0.76223,0.851793,0.183709,0.699628,153.75,,0.734666005,0.831806,0.267865594,0.633757962,154.45,,0.763595729,0.852794293,0.225014278,0.659012629,157.46,,0.739508319,0.839742,0.159550562,0.611205433,75.02,,0.763595729,0.856639878,0.075967,0.625705,101.02,,0.760864167,0.854952374,0.095112,0.637715645,264.93,,0.7486963,0.843762551,0.194364577,0.634375,156.43,,0.782468339,0.861520526,0.390420244,0.739130435,63.51,,0.754283586,0.849833677,0.166966967,0.628508531,152.68,,0.818599454,0.889607241,0.403976975,0.771256171,75.99,,0.85026074,0.91673007,0.629995299,0.70260223,109.29
17,0.763223243,0.851697342,0.258566978,0.707204905,54.37,,0.757388,0.846941,0.251509,0.711367,154.61,,0.724360566,0.825008216,0.291466083,0.581466,150.64,,0.771542,0.856331169,0.325769037,0.682548477,170.68,,0.754035262,0.850879,0.116666667,0.597925564,79.54,,0.764837348,0.855931538,0.100064977,0.689956332,111.8,,0.762478272,0.85525071,0.09097,0.672887507,267.86,,0.725353861,0.822073234,0.337007874,0.653567735,161.33,,0.796126148,0.871093426,0.423917894,0.757206208,64.72,,0.729202881,0.828813559,0.298532495,0.652106084,169.18,,0.818475292,0.888888889,0.386058981,0.787628866,80.95,,0.784703253,0.877062925,0.547816673,0.590229312,77.98
18,0.757263472,0.846249072,0.299907149,0.706586826,47.73,,0.767445,0.854668,0.235359,0.712953,155.95,,0.733424385,0.82945217,0.303341902,0.655773421,154.97,,0.758256767,0.84348784,0.367558,0.707893414,158.45,,0.759374224,0.853757406,0.128744423,0.630040912,88.88,,0.765085672,0.855964516,0.098555,0.676657,85.67,,0.766078967,0.858239,0.112548512,0.672636,265.8,,0.726222995,0.826036096,0.309304275,0.612314709,157.09,,0.806059101,0.879871692,0.326923077,0.76684492,57.7,,0.748323814,0.845113508,0.243353783,0.624277457,154.11,,0.822448473,0.891168746,0.450073064,0.783538215,69.62,,0.843555997,0.914858388,0.671768707,0.661990355,129.82
19,0.769183015,0.85553195,0.290872618,0.714285714,52.33,,0.753539,0.843342,0.278528,0.718332,151.78,,0.745716414,0.839526746,0.292314946,0.662972292,160.38,,0.773528681,0.85885934,0.301052632,0.676334107,160.14,,0.7539111,0.848441132,0.217224356,0.642699115,81.72,,0.769307177,0.860776952,0.077922,0.654956085,95.51,,0.767196424,0.859057337,0.02939,0.641883519,251.8,,0.759001738,0.847960033,0.339981868,0.682875264,171.37,,0.798112739,0.872141546,0.416781927,0.767501277,58.79,,0.755525205,0.850175327,0.205533597,0.636109558,153.16,,0.826545816,0.893160995,0.454,0.789808917,75.34,,0.852371492,0.91433644,0.703330751,0.713843432,126.41
20,0.776384405,0.862710925,0.154731458,0.715252473,49.82,,0.772908,0.860269,0.16792,0.693201,152.81,,0.751427862,0.845667653,0.218142549,0.643142,152.79,,0.771666253,0.85494669,0.352443609,0.7102605,160.54,,0.763595729,0.856812042,0.096271,0.630512515,78.36,,0.77340452,0.862840246,0.021164021,0.657894737,89.45,,0.770300472,0.860728497,0.045322,0.656698565,254.02,,0.769679662,0.857915,0.235294118,0.67612025,158.74,,0.819096101,0.887783396,0.402785217,0.786255685,64.08,,0.759374224,0.853629885,0.180406213,0.618618619,154.37,,0.82294512,0.890721649,0.460955987,0.792513369,68.09,,0.856592997,0.920262582,0.698176405,0.705410822,83.39
21,0.763595729,0.849020103,0.357541899,0.726215645,63.94,,0.784082,0.866507,0.234884,0.735931,162.09,,0.760491681,0.850721018,0.238461539,0.669866667,156.95,,0.782344177,0.861977877,0.3374613,0.732490272,161.34,,0.765830643,0.855906395,0.237591,0.669569951,97.14,,0.768810529,0.860031932,0.053009,0.640153945,91.72,,0.767693072,0.858857011,0.09973,0.648182378,256.44,,0.76756891,0.855028158,0.222093023,0.691521961,159.87,,0.817606158,0.885568817,0.461893764,0.795107034,69.7,,0.752545319,0.847246163,0.290135397,0.646203554,158.48,,0.814874596,0.885040409,0.439365672,0.789989119,64.93,,0.868636702,0.926990765,0.722505462,0.72611465,104.6
22,0.7695555,0.852983014,0.356890459,0.736397253,65.63,,0.780978,0.864317,0.225319,0.740816,154.2,,0.733796871,0.827521045,0.319825708,0.668816214,154.29,,0.791780482,0.871941987,0.327586207,0.706988,162.14,,0.77017631,0.859906,0.261108064,0.66027088,89.44,,0.775763596,0.863214838,0.063875,0.702671973,93.05,,0.775887758,0.863768,0.148241206,0.705882353,289.18,,0.7721629,0.860213354,0.257558791,0.655068986,160.54,,0.819592749,0.886523634,0.471227911,0.804469274,67.02,,0.748572138,0.842105263,0.297001428,0.663032706,156.73,,0.834492178,0.898402766,0.494593324,0.805449591,78.75,,0.854482245,0.921858501,0.698478562,0.684665227,87.34
23,0.779612615,0.862938326,0.315947844,0.733092411,57.18,,0.78073,0.86187,0.345644,0.744589,163.6,,0.755649367,0.847458,0.227347611,0.657236126,155.06,,0.793643,0.869695208,0.400191022,0.747085656,162.98,,0.770300472,0.858814923,0.314731021,0.669604,86.06,,0.776136082,0.863685428,0.044700793,0.707024557,95,,0.760988329,0.852373159,0.25012407,0.714361986,283.64,,0.761112491,0.847989208,0.347316193,0.705418719,160.88,,0.828904892,0.893793103,0.443987667,0.801306478,64.63,,0.764589024,0.855791191,0.233736327,0.671719564,165.22,,0.840079464,0.902503731,0.509637988,0.813965607,84.26,,0.879314626,0.933423568,0.701172665,0.769570011,104.32
24,0.778743481,0.861097298,0.369020501,0.727666486,58.27,,0.789546,0.870082,0.229899,0.747941,162.8,,0.767941396,0.853693064,0.353383459,0.693049,169.18,,0.801465111,0.8771424,0.333518006,0.746285085,163.47,,0.776384405,0.863789,0.284319045,0.670085,87.62,,0.776632729,0.863715141,0.146857498,0.724958495,115.25,,0.775019,0.864162533,0.191024166,0.704967086,276.44,,0.781847529,0.862074717,0.401253919,0.722251726,175.69,,0.824310901,0.889611472,0.486709441,0.800207039,65.67,,0.769307177,0.856479562,0.334611697,0.695563488,165.89,,0.847777502,0.906870483,0.546684709,0.82416397,102.55,,0.870871617,0.928700129,0.71822775,0.721276596,147.31
25,0.770548796,0.85542571,0.353467562,0.725832013,55.2,,0.789297,0.870384,0.257768,0.730435,162.72,,0.771417929,0.85790581,0.306742151,0.679579,160.78,,0.798112739,0.873355943,0.406086543,0.753653445,164.77,,0.774646139,0.863169897,0.347209082,0.667832168,97.97,,0.773032034,0.861354,0.089735,0.713846154,99.02,,0.779612615,0.865896223,0.076164,0.715637173,264.77,,0.780978396,0.862479339,0.38173516,0.719471947,162.39,,0.831015644,0.891753457,0.530766011,0.833915212,85.93,,0.766327291,0.855420692,0.293279022,0.692572553,159.04,,0.838465359,0.901613828,0.48075962,0.809473684,70.63,,0.870747455,0.933075367,0.712798119,0.735227273,123.57
26,0.785075739,0.867823981,0.303322615,0.717285945,56.62,,0.786317,0.868385,0.328189,0.702141,168.82,,0.770300472,0.856702619,0.258458125,0.698074975,157.02,,0.795629501,0.869808917,0.462674323,0.763060686,164.84,,0.777378,0.865007417,0.379963899,0.673492605,90.14,,0.78122672,0.867087129,0.121648136,0.726958525,110.49,,0.779488453,0.865618465,0.112449799,0.711685261,266.85,,0.796374472,0.872745,0.365625,0.743975904,173.41,,0.845542588,0.903825409,0.514118793,0.834747878,72.98,,0.785199901,0.868798057,0.312867058,0.706382979,167.73,,0.839086168,0.90201495,0.465949821,0.814293449,72.19,,0.875838093,0.929955291,0.736760727,0.754020814,96.55
